,comment,real_index,sentiment
117,literally n't see ai different slightly longer version student already already . 's teaching process weak .,417,0
118,"ai never destroy anything , people .... politicans .... billionaire ... etc",418,1
119,"ted make intro worse every year ? wrong first one ? ai could save destroy specie planet million way . key word `` could '' 's something anyone arrogance predict certainty . , risk need managed .",419,1
120,"exactly use chat gpt . interact ask question like code working code work , everything come nice clean explation 's amazing grow mush using ai tool",423,1
121,", really need ai tutor read graphs/something visuals text together regular mathematical equation",424,0
122,hoping ai would make education obsolete .,428,1
123,"much respect speaker , concern bigger inequity would become since live world every student even essential learning tool . also , ai teach , tutor , coach , etc , career , human , going fill ? previously watched video explaining potential benefit ai small business ; unfortunately , speaker explained , big company afford . afraid ia likely make 10 % richer average person struggle .",431,1
124,artists\painters die ) ) need ? ai faster,433,0
125,"learning learning ? . get .... story never told perceived story teller . knowledge grand , get point , imagination however , get even . ai used elderly experiencing difficulty life , privilege used think comprehend ... note : everyone learns equally rate . ai ultimately kill patience , compassion , basic human interaction . social medium began journey .",435,1
126,11:52 august ? access august 2022 ahh elite unfair access opportunity iterate rest u sigh,437,1
127,"1:45 everyone average standard `` average '' increase , mean everyone becomes average .",445,1
128,handle hallucination ai ?,449,0
129,".my spouse adding variety stocks/etf present holding long term , 've set aside $ 250k start following inflation-indexed bond stock company solid cash flow , believe good time capitalize market long-term gain , would n't hurt know mean actualizing short term profit .",465,1
130,"'m sure ai kind thing never thought . especially dark web . great job openai ! sam altman run congress asks `` regulaiton '' dangerous software - 's dangerous , release begin ? could money ? 🤑🤑🤑 gaslight u ! eat !",469,1
131,"available public free ? since beta version released , 'm curious teacher know term susceptibility vulnerability .",472,1
132,"amazing academic proposes , point youth going become emotionally educationally dependent ai . story tell self youth trust ai mentors/parents .",473,1
133,'s good incentive teaching human math computing ai better ?,476,1
134,"likely ai kill job , human ingenuity creating dependent class low wage . ai possibly destroy humanity . benefit ? pas",477,1
135,"great talk ! great point around ai used enhance human intelligence , human potential human purpose .",478,1
136,"amazing , average student become extraordinary help ai tutor .",487,1
137,"n't think many people realise still first birth ai disruption . sure , use current ai model help u learn , create , , etc . remember napster , facebook , youtube ? idea impact digital revolution would really rebirth ( i.e . really 'new ' ? guard-rails work ? 😂 ) . agi asi industrial revolution . much closer end goal tool creation . disruption replacing human culture - augmenting . asi robotics , better . human worth ? replaced , need learn ? yuval noah harari say take drug play video game . dyatopian , nirvana heading towards millenia ? 'm sure ...",488,1
138,real question : `` hire student hire 10 ai teacher fraction price ? learn ? '',490,0
139,"simplistic ca n't believe everybody euforic video . decide check ai teaching studens ? going education thing happen `` sandbox '' , happen ai going propagate every aspect life , provokig disruption confusion . ai become incredibly intelligent , fast smart become stupid obsolete . thing teach kid deal , relate , survive era ai agi . ready ? kid right want learn invest crypto make money , tought , future , 's something important money , expect ?",491,1
140,agree ! working tammy aito enhance whole youtube experience . old problem solved new ai solution know change world !,492,1
141,"’ clue ’ preaching . ai tutor , ha . education mean first foremost human interaction , undermined pandemic lockdown .",493,1
142,technology ai progress .... mankind . think end ? first guess correct .,494,1
143,"possible find prompt ai tutor manner ? prompt , want find !",495,1
144,"really impressive could absolutely game changer education . unfortunately 's quite wrong come last couple minute talk . ca n't wait `` problem arise '' , ai , late . none past relevant new situation , 've never deal effectively alien entity intelligence par greater . make completely different anything human faced . let ai get smarter human without dealing safety aspect late . situation humanity ca n't wait problem try fix fact . 'd like point positive thinking world regarding education wo n't matter - n't human educate future . current path attitude like ( towards ai safety ) race ahead building ai well beyond ensure safety lead horrible outcome humanity . n't need way , safely would require patience focus safety instead rapid unchecked progress many people n't take ai safety seriously trend continues high likelihood leading disaster .",496,1
145,ai great job explaining concept different way well ! 've asked ai explain concept using story poem song !,497,1
146,love ai way learn truly understand something ask every small detail edge case fully form mind . gpt-3.5 helped work issue random question need know may take week never answered posted stackoverflow .,499,1
147,"problem come people want coding , algebra etc . problem 'done ' ai rather done u . coding algebra cumbersome . however might problem . currently limited subset population interest working algebra coding .",507,1
148,'s point ai 're going automate job,511,0
149,"14:14 make important point - n't give fear . totalitarian government criminal organization wo n't pause , resulting bad actor better ai power confers good actor .",515,1
150,"specie lost battle . compete pc playing chess car trying run . ai . brain limited , slow life short",519,1
151,"would tremendous contribution education . totally agree could one positive transformation education . teach medical health science education , ai tool could transformative . many reason include diversity learner , innovative curriculum design , academic support , differentiated instruction point need ( zone proximal development ) , self-directed , asynchronous learning , self-paced ( mastery ) learning .",522,1
152,wyatt role u human ’ done ai,523,0
153,"military industrial complex resist temptation put ai weapon system , including jet tank , must assume adversary . imagine state-of-the-art jet fly much faster human pilot tolerate , maneuver much better faster human pilot , obey order destroy anything anyone . ai plugged military system , end civilization . colossus : forbin project destroy u . civilization phukt .",529,1
154,ai = amazing intelligence ! !,535,1
155,first ensure work . going teach ? scientistic blind faith gee whiz tool .,543,1
156,"problem ai tutor speaking computer lonely , matter sophisticated . part good education n't teacher pupil 're .",545,1
157,student ai perfect ; question would guide kid empathetic critical thinking . claim similar internet created . waiting hear quantum computing,549,1
158,"hello , anecdote matter say writing ai improved writing !",551,1
159,friend told 14 yr old son using ai write school work . amazing .,554,1
160,sword cut direction . chat love rainbow . address danger,558,1
161,"college student currently , ai powerful tool term helping learn . actually get done , learn subject , longer need scour internet hour information .",573,1
162,"rule world intelligence . race get powerful ai suicide . mantra “ ’ , others ” make sense still end suicide . hinton recently said cause massive unemployment despair , society get violent . ai brilliant , ’ cause job loss , single one !",581,1
163,"interesting . , sure bias built ai built current educational system . . look current state affair regarding social injustice .",588,1
164,"college grad parent 2 kid less 2 year old , brings hope future wo n't hodgepodge failed ai construct kind dystopian battleground next `` best '' thing .",589,1
165,"probably best perspective 've heard ai development potential far . slowing new tech never worked well . double good stuff engage global community openly instead . change education , change world .",590,1
166,"planning one best part teaching . problem marking , said ai save time planning felt sad ( tragic audience gave applause ) , planning creativity , give creativity computer ?",591,1
167,"planning one best part teaching . problem marking , said ai save time planning felt sad ( tragic audience gave applause ) , planning creativity , give creativity computer ?",592,1
168,"would multiply bias ai bring character poverty education though . time would put ai computer center learning experience , hence sort making even integral part think . maybe better leave highest performance high performer - profit least btw leave average average benefit keeping everyone human . word : careful much power give machine , mich space life .",594,1
169,"guy kahn academy legend future , present era 's secret revolutionary ! would live personal tutor 'd build tutoring like general purpose chatbot chatgpt . approach openai . n't go towards captilizing generative language model based ai let tech used field master enhance work . openai far , responsible enough hope continue future 'll multi-billion dollar company . 's lot ai industry , even tip , tip , tip , ice berg !",600,1
170,"’ 2 year , government going ask $ 100 billion implement ai teaching tool public school classroom , geared teaching student communist propaganda .",606,0
171,"first , premise misleading . difference better student lesser student merely people access tutor . 1 ) natural intelligence . 2 ) love learning . 3 ) work ethic . make lesser student better student , drag top student , two beneficial part education process learning information figuring thing . close gap raise bar .",607,1
172,really amazing informative video ai student ..,608,1
173,chinese really dominating ai field spend time talking .,613,0
174,afraid ai ridiculous thing 've ever heard . 's going improve life way ca n't even imagine . ❤️,617,1
175,"regularily use ai `` tutor '' guide tricky concept teacher simply could n't explain way , also major advantage could ask something multiple time way ( even stupid question fundamental level ) would loose patience would answer everything best ability . mean great , mean every student potential personalised customised learning experience tailor strength ai _finally_ education system motivator change century stale . maybe 's finally innovation education !",625,1
176,"tell people watch ted talk . ai soul , heart , compassion . ai incapable wholesome , necessary , crucial element human . ai corrupted . old programming axiom true . garbage , garbage . ai .",627,1
177,"given necessity look disconfirming evidence psychological difficulty , find ai incredibly helpful . ask give argument view . really open minded reach accurate description reality . aka truth .",629,1
178,ca n't wait try .,630,0
179,♥love u ai hi ♥,634,0
180,"good fine private school decide n't need teacher , need third much less . ? happy student afford tutor even good school , afraid teacher private tutor loose job . need solution new problem .",638,1
181,"tutoring art craft , step-by-step repair . imagine pairing ai augmented reality glass , recreating masterpiece sculpture . learning martial art time day . matrix stuff . thing need regulated copyright , finding way pay royalty original creator .",639,1
182,class ’ ask enough question clarify thing fear appearing foolish . ’ always teacher ’ pet select lead discussion . ai tutor could help learning comprehension,642,1
183,kahnmigo one exciting tool ’ wait start using .,643,1
184,'s point teaching student unique point human ( learning creating art ) erased ai ?,644,1
185,"'s brilliant presentation . however , way went portraying benefit ai education , mentioning use ai totalitarian regime effort take position convince public support ai bad argument , bad approach . presentation already pretty convincing . need bring geopolitics .",645,1
186,"ca n't imagine many student past could 've benefited tool like . let 's allow another generation student allowed go without exciting fulfilling education . use ai correctly , turn education something everyone excited .",650,1
187,"reality ai replacing teacher student . coming decade , human completely obsolete field .",651,0
188,"'s hard people honest future ai mentality subconsciously capitalist , everyone care less ai potential worry whether 're unemployed . 've waiting `` real ai '' ever since little boy watching useless remote control robot nothing , saw one vulcan scene first star war reboot kid little pod , could imagine future , side side , real potential human could finally unlocked . teacher wont replaced , admission overwhelmed incapable handling large classroom size . 's pity immediately become defensive instead seeing way benefit student .",654,1
189,"love idea behind shown look great . one aspect wonder relates closing remark `` ai used enhance hi ( human intelligence , human potential human purpose ) '' . wonder advancement technology actually present significant challenge human purpose . think value learning sake . something knowing learning done effortlessly better ( assuming effective tutor ) bot teaching challenge practical utility learning . n't mean downer . think move forward , putting back box . present challenge even positive use case .",660,1
190,"get point ai provide feedback student better faster human serving many student time . especially see value reading comprehension , also learning math skill . however , n't think student would go effort using ai feedback writing know ai easily write assignment . student opt computer write . think writing become lost skill ai world . people wo n't need know write anymore unless want fun .",661,1
191,'s point teaching coding ai better ? 😅😂,679,1
192,"recognition importance human connection education , especially pre-college . student feel cared , cheered , recognized person value teacher , result often transformative . even ai could taught mimic , student would know ’ person . fooled thinking ai person , would psychologically fraudulent might negative consequence road .",687,1
193,voice interaction ai student ?,688,0
194,folk gon na cheating way school etc . ai gon na breed new generation dummy rather skip material instead actually learning😅 already got bunch fake doctor lawyer thanks ai work em,690,1
195,"'s remarkable , ai empathetic .",691,1
196,"fascinating , apply older folk ? watched video imagine ( soon ) possible undedicated older folk like ( 'm old , 59 year old ) acquire new skill learn specific topic , subject , etc . 'd love ai tutor assist learning various software program like excel , sketchup , others . perhaps want learn ai , get various model 'm hearing allow people create image , music , animation , etc . 's complex confusing fast moving subject , 'd love able dive learn someone something answer question along way .",694,1
197,get implemented ai need made 100 % truthful . would prevent wrong information given teacher fact incorporated lesson ? also issue opinion formed human whatever ai say get accepted true .,697,1
198,made ai learn plot achieve better result 's main objective . 'm sure nothing wrong could ever happen .,704,1
199,inspiring use ai,708,1
200,ai conduct exam txt diploma etc immediately,713,0
201,generation take using calculator granted school kid would would use ai usual .,726,1
202,"negative effect kid people using ai educated overtime ? actual teacher assistance tutor , coach , mentor ? rely particular job income provide family . people love tutor , people love mentor , people love coach child , ? ’ artificial intelligence ’ trying push fast one ever talk negative consequence overtime… ’ talking ai take a.i killing people anything like . problem thought solution ? perfect",729,1
203,people realizing raised proper ? ai want help ?,733,1
204,"think ai 's great tool education & 've used nlg tool co-create story + generate fantastic image . believe 'll far significant ai tutor seen spoken . 's reason ted video > 300k view 3 day , people watched & listened person teach . n't purely text-based proclamation flowing screen",736,1
205,"'m happy help student everywhere , disagree good tutoring example . cloud code example , better teach student reason figure , rather explaining one sample . teacher , would ask student , change make result see ? help make connection develop problem solving skill . 's critical learning told answer .",747,1
206,"first started talking immediately went , `` wait minute voice sound familiar ? ? ? ? ''",748,0
207,"ai taking teaching job , theoretically , human teacher remain ridiculously high pay profession . seeing teacher pay usa n't actually follow real market logic , would n't surprised got paid lower wage somehow . get full embrace ai anywhere society fix economics human actually allowed live world full ai .",751,1
208,"ai tool available canada ? think expensive family luck fall behind , unfortunately .",752,1
209,"even regular chatgpt blessing adhd . love way manages explain stuff concise , straight point manner .",756,1
210,"'s one thing chat bot help math , role-playing author super cool . dangerous part ai . ignorant ?",759,1
211,"n't know going super tutor . problem : giving demand reply based information already . certainly efficacy . however , education fundamentally human experience . 's people , peer , elevating one another discourse community . `` learn '' quickly information demand , nothing really elevate human being . human being . think helpful , going shift curve like shown beginning talk . end , unless teacher student bring necessary energy eagerness experience ( ai never able provide ) ai remain souped search engine nothing .",764,1
212,wonder available spanish ? spanish language teaching ?,772,0
213,`` ai death education '' fair education long overdue revolution/disruption . still educate kid like ran 19th century factory .,781,1
214,wrote thing ai personal educator harvard college essay got rejected lol,790,1
215,"friend learning disability hard time expressing mean email . told use chatgtp 's thanking . embarrassed telling friend like help feel relieved , confident , independent . thanks ai🎉",793,1
216,7:46 `` everyone '' ? ? ? kidding ? kahn academy : `` available people living u '' !,795,1
217,’ cool ai wrong critical matter ? take ai learned 100 % truth ? fear student rely much ai balance .,799,1
218,"gon na wait untill try europe , might pick learning stuff fun like computer programming",800,1
219,3:10 use ai dig student mind get learning going ... love !,806,1
220,ai march,808,0
221,caveat … ai system manipulated biased… chat gpt already proven .,813,0
222,"like optimism let ’ say north-korea ai get hint build inter ballistic nuclear missile , ’ trouble",815,1
223,"ai certainly intereting application education contrary panicked educator think . however create two problem every one solves ? gain could achieved simply providing better training teacher teaching assistant , challenging though might . human teacher well trained support encourage student way ai current level . find student default go chatbot ask question help homework even teacher good ( due social psychological factor ) become increasingly dependant owner ai platform whose policy may may always student ' best interest .",820,1
224,ai…can easily preprogrammed…to teach propaganda… mortal…stop ? ..,821,1
225,"saying using ai cheating like controversy calculator however many year ago . teacher like , `` 're going calculator everywhere go ... '' would much rather child learn use chatgpt write paper shakespeare . former going guarantee success whole life ai going permeate every industry way statistic recent decade .",827,1
226,"would ask ai figure bring people teaching , develop individualized learning . convince school board end standard school system , make better system . like school learning center open 24/7 . teacher guide , end grade class period . student would never late , would responsibility learning.this tutor concept helpful atmosphere . large classroom . mean , go critical thinking , support student passion . really interferes learning emotional block .",828,1
227,ensure ai lying ?,833,1
228,"seem forget quantum ai false worldly simulation constructed demonic empowered empire creative vision , truth love humanity . looking forward god truth search engine coming real soon . thank q !",834,1
229,"pro using ai , con ? , neoliberal technoprogressive world , could go wrong ?",838,0
230,replacing counselor ai seems like really bad idea . really bad .,839,1
231,available spanish ? :,840,0
232,"see one two generation kid talking un-sophisticate llm bot , one like alexa siri , frustrated defeated explaining simple question . lol . teacher , believe teach kid speak llm , skill easily apply future labor market ai technology play increasingly prominent role .",841,1
233,"man know stem subject , even ai ? ? ? hope ’ recorded history one accomplished celebrated men history , great man even greater teacher",842,1
234,’ point studying math ai tutor get job accountant taken ai .,844,0
235,ai eradicate mass schooling . change mind .,845,0
236,"one big correction normal distribution would still apply , shifted right . student 1-2 standard deviation mean likely remain 1-2 standard deviation mean . average student would remain average definition .",848,0
237,shoved digital human brain . 's think chatgpt 😆,852,0
238,ca n't wait till student interact ai voice command 1000+ language . 's going revolutionize education across world . 're probably like 3~ year away feasible .,856,1
239,excellent potential… . danger nefarious actor want replace teacher ai robot… .,863,1
240,"( high achieving student- self proclaimed sorry ) , strongly believ use chat gpt tutor . reason- n't know , ca n't judge attack make feel good ask thing - ask question certainly could ask teacher laugh . n't get annoyed , keep asking `` '' many time explain something . n't cheating 'm using assignment - well used chat gpt everything artificial , fake real use asking layout etc . - differrent advice teacher give assigments .",868,1
241,"'re afraid student use ai `` cheat '' homework whatever , mean education system school suck . would n't let kid within 2 mile radius school ' area . focus education part , grade , dummy . lol",877,1
242,"love . ai help work , guess , still work ! !",878,1
243,"definitely bring lot potential curiosity introvert kid . many kid feel shy ask question tutor ( even 1:1 tutorship ) lead death question curiosity kid . ai tool add fun , explore give every kid chance ask want get answer lot feedback .",879,1
244,"real problem n't large language model suck math , still make hard enough . problem mistake pop time really screw student 's mind . perhaps mix tool , wolframalpha , also include ai n't language model actually solve math problem reliable way .",881,1
245,"'m afraid ai , 'm afraid misuse ai . want great mind world working together , monitoring , create ai benefit whole world one segment .",888,1
246,ai completely change kid learns & hence he/she get taught . super tutor approach like band-aid fix . eventually job landscape reshape whole education system . starting point disruption .,892,1
247,"think quiet scary ai kind logic imitate human emotion especially symphathy , definitely kill men without hesitation",893,1
248,"need ai certified , unlike lobbyist , disclose funding .",898,0
249,anybody going talk fact jailbreak language model ? mean language model jailbroken easily !,907,1
250,’ scary ai thinking first,908,0
251,"frightened proposition `` talking '' jay gatsby : character , person . speaking , least simulating conversation ai , fundamentally wrong thing . happy see educational advancement , must reminded frankenstein 's monster : wonder ai posing would say danger going far science .",925,1
252,"ai arm race gon na terrifying . ’ going “ guardrail good ” “ need better ai bad guy ” … bad guy ’ use guard rail achieve goal , think response “ good guy ” ? feel like generation equivalent nuke damage ’ obvious yet",927,1
253,"really think form ai plague society , look really promising tutor . however , n't know feel impersonating gatsby historical figure though 's primary source information , seems like terrible idea . 's like playing assassin 's creed thinking portrayal , say ... rodrigo borgia accurate .",928,1
254,"ai ’ teach tutor people , proving answer . teaching tutoring answering question . lazy become ? internet instant information good enough .",934,1
255,billion writer billion story left time read ai,941,0
256,right direction ai need go .,942,0
257,"'ve thinking time ai could improve education , healthcare , law . suffer problem : n't enough professional go around . law multiple issue : enough lawyer , enough judge , enough court . result almost case end plea deal lawyer incentivized push client towards plea deal . doctor educator though 1 1 care much better . doctor know beyond test result , give full undivided attention give much better outcome one seeing hundred patient . might see doctor lawyer replaced ai , legal structure would n't allow .",946,1
258,"read ender ’ game , know . orson scott card might dead wrong future rational discussion internet - flock emotional argument , rational debate - nailed important ai education . bad movie missed .",947,1
259,"yeah , ai great tool education moving forward , part think get overlooked want still thing . like interacting ai lot fun , using co-write story blast ... teach way teacher even biggest group teacher possibly great , teal question student still want learn ? thing mastery , quite falsely human defined . like imagine struggling test 7th grader . well . , year later , could attempt test absolutely dominate easily . imagine basis 7th grade test , career path laid . would horrible badly . precisely happens , although later life . 's like could n't well given time ( clearly ) , society broadly defines way well given timeframe , enter society based result . society actively stunted growth ... motivation quite complicated , point make exception , think internet . hub information ever known mankind . population ? make everyone super smart ? people actively learn beyond schooling year ? , made majority mindless scrollers , masked hater , cringey short video creator ever decreasing positive trait ( , , many ) .. , tool great helping trying accomplish . though radical tool change thing try accomplish , day age , mostly negative .",950,1
260,internal ai thought approach patented ?,956,0
261,"wow kid nowadays lucky . generation , internet access super limited phone . remember geography homework one question could n't find answer ; 'd wait day subject get answer teacher . kid , learn much ! ! ! !",961,1
262,make sure child n't break ai tutor accidentally make ai enemy ? make sure tutor n't teach wrong answer correct ?,962,1
263,'re telling whole truth : ai completely replace teacher ! !,966,1
264,"yes , let 's use ai enhance human intelligence , human potential human purpose . ♥",970,1
265,"great video ! love ai assist student ! ! however , worry , future , educational system use ai instead hiring teacher cost effective .",974,1
266,finally video actually excited click ai ! !,975,1
267,"ai getting smarter teach u everything knowledge related work better u . would point learning science , math , programming human ?",978,1
268,great ... ai potential stuff,980,1
269,"gatsby example interesting , though 'm sure agree conclusion . ai ever-ready insight , reasoning capacity . n't good -- least sometimes -- sit problem ? ruminate puzzle ; even frustrated ? work mind eventually tap creative source . ca n't count number time 've jumped bed write something come sleep . , remain agnostic .",981,1
270,"man legend education go pioneer ai learning general . honestly want drive video people see speech , ai pretty scary , totally amazing , need people see thing like set right frame mind deal turning point history .",986,1
271,available spanish ?,990,0
272,need ai tell put phone every time try study get distracted,991,0
273,imagine talking ai acting like adolf hitler😅,993,1
274,"'s right . know thing neutral , good bad , benefit harm exploit . ai future , developed . reach `` spirit '' awareness next clause 15. ai everywhere grow u .",995,1
275,cool ai guidance counselor seems creepy risky . need real human emotion counsel young kid opinion,1001,1
276,"problem ai teach , ai could teach .",1008,0
277,student switch student mode example tight deadline need answer urgently . would make ai probe determine whether student teacher ?,1015,0
278,"telling coworkers saying gpt kid using bad . ’ telling gpt empower u , teacher ! ! ! best ta everrrrr ! ! ! ! ’ using help plan lesson student use help write better compute better ’ win win everyone . get paid half job idk problem .",1020,1
279,great ai advertisement . * ..... inform ai-risks elsewhere . ( man wo n't tell ) *,1021,1
280,"first appreciate sam altman , think make money benefit world ai .",1024,1
281,"ideological talk .... reality , number profit .. teacher .. ai replace ceo company .. ideal talks😶",1032,1
282,"want similar ai , learning practicing communication , negotiation persuasion skill professional business context . anybody working ?",1033,1
283,paid whats use,1034,0
284,"first , agree ai absolutely fantastic tutor . point flaw argumentation . statistic shown beginning student success without tutoring ’ taken account type student opt tutoring . generally , argument placed premise “ everyone want tutor ” . , ’ . people really ’ want learn would rather take easiest way stay grade x . ( ’ say dumb smart . highly intelligent people also often find way avoid learning thing uninteresting therefore trivial . ) ai absolute game changer curious ’ difficult get student much curiosity towards academic matter use ai tutoring tool autonomously . people inclined work hand physical labour think really need pay attention people avoid creating even larger social divide academically inclined not-so-much-so . , ’ think try take slow ai , rather , take advantage efficiently possible making sure ’ disproportionately benefit certain group people , case , certain type student .",1035,1
285,"’ shame going miss . studying sat personal ai tutor completely change ’ dynamic , paying tutor ’ much advantage .",1042,1
286,problem use ai education . problem 'll point education first place approach agi . human able keep,1045,0
287,có ai vnkhongg : ),1046,0
288,'m back school learning programming chatgpt pretty invaluable tutor 's available time .,1048,1
289,"really love . course , `` teacher mode '' soon unnecessary , teacher shown inferior ai based tutor . see happening alarmingly quickly : couple year , best performing student entirely ai-tutored , worst performing student soon dump teacher get ai-advantage . good news teacher , great news student , longer held back current system , teacher weak point process learning .",1049,1
290,"hopefully , ai make video quick easily text .",1051,1
291,good ! @ 13:32 lay great argument continuing push ai research acknowledging validating fear could go wrong . watch whole talk !,1061,1
292,"wish talked revolutionizing college graduate school education , poignantly , academic research . think understated power ai education presentation . depressing power us ai get barely attention . imagine instead attempting craft agi , instead focused creating subject matter expert complete knowledge every paper book existence topic , complete full bibliography ability , create textbook , create lecture , issue grade assignment suggest research question graduate student researcher . imagine instead publish die , professor capable comfortably teaching 250 student , ai assisted individualized attention , getting 20+ paper published month , pre-publishing pre-peer review bot speed rate paper publishing making easier editor . handful year , world could change beyond wildest dream .",1069,1
293,voice automatically trick mind n't ted talk watching back college pulling hopeless nigher fail test .,1071,0
294,"internet first came , people said student would cheat . true , useful resource . true ai",1079,1
295,`` feel nearing end time ... human losing faith . '' -hayao miyazaki,1081,1
296,"november 2022. introduction chatgpt . never guess would spell beginning age ai . truly revolutionary time going change much world . 's less year , 've scratched surface , 've already come far . excited terrified experience huge step future . however , thoroughly looking forward ai use transform world . development technology en masse topic science fiction cyberpunk tale long ( deus ex come mind ) , , 're fortunate enough witness firsthand .",1088,1
297,"'m past school college point . source knowledge majorly people , like youtubers . , like miracle . 'm learning much positive impact ca n't begin explain . told someone , `` artificial afterall . '' well , personally , life felt like people like college professor , act certain manner , considered `` real '' , care , focus learn . applies directly ai model well come teaching . real world , majority teacher pay individual attention possibly cater specific need single student . ai , much possible . love . chatgpt wave since november brought 1 thing life . ease access knowledge understanding . 'm glad happened . video , girl conversed ai `` great gatsby '' assignment . blew mind . marvelous ! wonderfully presented capability ai teaching method .",1089,1
298,"`` problem , put guardrail place… '' point , ai could much smarter u may simply take-over . hand , thing stop bad guy ai , good guy ai ( possibly ai alone much smarter u ) .",1096,1
299,using ai tool brainstorm idea,1107,0
300,'m really impressed work 've done make chatgpt magical socratic . 's inspiring see ai used enhance human intelligence potential .,1109,1
301,'ve see ai exactly way explain video . education dead ! long live education ! using chatgpt personal tutor past 2-3 month since gained access incredibly powerful regard .,1110,1
302,"cool & helpful , hallucination still big problem , especially ai telling teacher info , think create serious issue .",1111,1
303,though problem ai tutor teach subject like stem whats point ? machine anything society future student better .,1112,1
304,pretty sure use chatgpt ted talk . ’ ai talking . 😂,1116,1
305,one handful people inspired go back school finish degree computer science . ’ wait see positive impact others !,1118,1
306,oh ’ good . ’ happy ai .,1120,1
307,game changing ... !,1122,0
308,", many commentator paid speaker ... ai entrepreneur ?",1127,0
309,"brilliant help many student get help need even shortage difficulty access adult help . able progress without hindrance self motivated learn anything . focus making aspect ai best make appropriate rail guard protection people , ’ fear technology rather carefully embrace . forever changed world new technology ’ think everyone fully grasped yet .",1129,1
310,"yeah , 's cool sanji mood chat great godsby ? little sanji work 2 part time job help parent rent health insurance payment ? ramen noodle . thought 's fragment 're 110 % correct ! brainiac keep talking education job like thing gon na inevitably put food table . day ! ai n't come built-in ubi money spitting nozzle , 's unsafe product . 's trained data ! n't need wait congress make safety regulation ; pro-active ! back day tesla electrifying home ask diane feinstein mitch mcconnell size wire use ? ! , n't think ! 😂 ubi must . 's gon na come stingy bastard gov't . tech need provide even fall left side bell curve .",1132,1
311,"ai internal thought great idea , need accessible well , least managerial sense . ai thinking without saying become serious problem expands beyond student and/or teacher .",1133,1
312,"ai tool used , decides ’ want tool ... may trouble .",1134,1
313,wow heard meeting smart tech person . potential making one one tutoring student high quality teaching assistance available exciting . great talk .,1142,1
314,"good-actor , bad-actor arguement tiring . 's thing crypto community . totalitarianism already tech advancement mean carry . ai accelerator . dont know erosion freedom tactfully slow methodical , generational even . eventually dependent outsourcing thinking ai . way navigation , remembering reminding , dating , finding work , etc . etc . control machine ( ai human ) learn prompt control mass obedient , happy slave guise progress , innovation , ... personal favorite , democracy .",1143,1
315,ppl wan na cancel ai one ca n't change cat filter iphone,1146,0
316,amazing eplaination .. one best speech date !,1152,1
317,", chatgpt someone know area he/she knowledge . otherwise , 's dangerous use reason .",1162,0
318,ai teaching u ... could go wrong ? 😆,1163,0
319,"say one thing , people manipulated accepting something taking time ask question since dark age , know help 🙂 . watched video expert saying tech poeple repeatedly talk improve take away job , without real fact something get better better something , point everyone like know , could use help n't need ai . love alive time n't fooled .",1169,1
320,"6:30 think feature risky . would n't want impersonated ai say thing like . even im dead said , rest great education",1170,1
321,"wish teacher stop trying knock ai , 's government administrator valued & funded long . end 's student lose .",1172,1
322,ai replace teacher,1182,0
323,"teaching primary education web connected , interactive white board new thing . successful teacher got first , nothing disruptive disenfranchised kid . see huge potential community classroom management , child safety abd school infrastructure significant problem jot help improve education system already failing .",1183,1
324,"absolutely incredible . way collaborate ai amazing , ’ threat education . since using chatgpt ’ started understanding concept much better imagine specifically coded ai-tutor transform educational space . great work ! ! !",1189,1
325,"`` 's easy focus potential downside ai education , prevents u realizing many way revolutionize learning . let 's shift focus harnessing power ai create effective , equitable , engaging educational experience everyone . '' -gpt-4",1191,1
326,really said 'give teacher super assistant ' n't want offend teacher damn well know 're gon na job .,1192,1
327,"marvin minsky ( inventor ai ) argued favour hi many year . see 1998 hi paper also 2013 hi paper ( minsky , kurzweil , mann ) .",1197,1
328,also stopped library stumbling across book subject person change life chatgpt4 laziest invention since cell phone… wish u could internet home u spend time family u learn use map… u learn basic skill cell phone took already kid remembered 10 family friend number address trying take away brain… capitalism… make many people lazy able hold job company implement computer people survive people strives learn old way ! ! ! day kid dont kno write cursive everything computer school ’ easier teacher ( show work seeing went wrong meaningless ) hey tech-is cool thing get smarter smarter somehow human think getting smarter along lol getting dumber dumber,1201,1
329,give everyone ! would love able learn/refresh thing ! * would gladly pay this…didn ’ mean give free non student although everyone would benefit !,1211,1
330,'ve waiting talk week 's finally 😭😭,1213,0
331,amazing . true ai great alternative especially people ca n't afford professional service university degree .,1218,1
332,y'all estimating ai business .,1219,0
333,"remember first learned word “ awe “ meant ? explained ? something saw eye , mind , infused word meaning ? taking time experience awe every week decrease distress increase joy . fall asleep tonight , wake tomorrow , wonder little . n't matter . choose .",1224,1
334,love ai,1226,1
